,immune,endothelial,epithelial,connective,muscle,macroglial,pericyte,neuronal,exocrine,endocrine
MBD2:MBD,0.008350976623815416,0.01426762043554488,0.015360293644920262,0.015022560775811985,0.013105634765156979,0.015201847180529927,0.015553601939851865,0.01704270672053073,0.012623648362932526,0.01424347146359417
CTCF:C2H2,0.0005795283123709826,0.0009069683187320176,0.002135482091383449,0.0025548984324995677,0.0014801600527543347,0.0036592107775131103,0.002213642777254117,0.006044388416090142,0.0012728625952149498,0.003794277141637618
SPI:ETS,0.13156762278709255,0.09357326227064537,0.08450851637427463,0.08114249431052438,0.07407757549486046,0.0770500195792636,0.07511912746122051,0.0657675627951118,0.05373309222704817,0.09266697675779462
IRF/1:IRF,0.095428701065996,0.07479827130342578,0.0815068729463418,0.07901551181916104,0.07934690955271143,0.07904490069724956,0.0704673549626018,0.06447435310110405,0.053316971345338526,0.0799133349483938
KLF/SP/1:C2H2,0.011771488227528267,0.013784676416327052,0.016984715521399643,0.01599798150610031,0.013690071244963065,0.012115729664331337,0.015437318283753984,0.011967038087147528,0.012856900699261951,0.01556008731645024
TBX/2:TBX,0.0797978289448408,0.06976504102388716,0.08782891072938827,0.0828882906173486,0.07562217293810573,0.09690521756569132,0.08651720654840238,0.09012081370955037,0.07731746538775015,0.10431991398389255
PAX/1:PAX,0.004168677914261918,0.001796361601810806,0.003980263007154055,0.00283919994120614,0.004554052113530155,0.003061169080842141,0.002943156791540433,0.0033352771840456717,0.0018745107227004748,0.003109696937505771
NR/1:nuclearreceptor,0.04149417017846284,0.02676168770951799,0.03768459287386721,0.02905240678394715,0.025364159462450877,0.030132250997643543,0.032324161904398054,0.027050345138247167,0.0181176867772589,0.03940376831109004
CCAAT/CEBP:bZIP,0.010284151543270406,0.009977332194004223,0.011625393086482968,0.012528779368315373,0.014146414837120301,0.012131422208860857,0.011800198815762934,0.011195810977369502,0.01013578660786145,0.011245706474737152
Ebox/CACGTG/1:bHLH,0.030919915135799024,0.026313621546111866,0.0317084963777878,0.028072209924763964,0.03003985857543016,0.03149770955786072,0.02628524585452365,0.029073861396422183,0.023547386219433628,0.033087770028299636
EGR:C2H2,0.016678928477795636,0.013671837071816365,0.01484684161387338,0.013245853843267305,0.01776033502953288,0.013641963867931085,0.015060112176949176,0.017745388916377287,0.014035765686912683,0.017274590076233144
FOX/5:forkhead,0.03364186024627831,0.033467648424586965,0.027770365588366937,0.033676327264734636,0.0380387882123122,0.033164953789076704,0.029350319877266818,0.028922850798283273,0.015132894273847276,0.03076798162039583
HD/2:homeodomain,0.01748842232589331,0.012077785037336492,0.021926933943376824,0.015373427581829852,0.021591466439359202,0.02016428255816338,0.01372236901079295,0.0159043450673509,0.01681698946049425,0.018515905625570254
FOX/4:forkhead,0.0008858325616049075,0.000547798718394066,0.0014993240724522432,0.00081933729222325,-0.00019226927425068202,0.0020116500001256896,0.0016998732462524836,0.003239385650626186,0.0021725450787925503,0.003208624609910335
RUNX/2:RUNX,0.00024179326501947592,0.00012687662734349968,0.0004860998238181181,0.00011535926652216265,0.00023365971905809754,0.00039549299710923947,0.00012765571599022513,0.0006384030400242715,0.00028566742366816254,0.0004850275273543941
GRHL:CP2,0.002750889041167767,0.002794768562603509,0.003457516431808419,0.0031991981528698846,0.0029536306832891406,0.002703964381884638,0.003277455068503783,0.002678828280685157,0.00153659546049305,0.0027476788279326117
GC-tract:C2H2,0.00039966835883215534,0.008513319354047465,0.007893597688289641,0.012681309286105748,0.007487864832541599,0.005827916729919068,0.008712403495640666,0.008878944391783787,0.0033727243571775,0.008632621934178535
E2F/4:E2F,-0.023894309100373285,-0.010696682138864209,0.0021061969185224,0.01279851975784234,-0.004885508674920529,0.02796190626059583,0.012956027237426766,0.08811179761375697,-0.0151841103797778,0.05351170820786667
