,family,gene,mean_expression,correlation,pval
4,CREB/ATF/1:bZIP,Crem,1.6993601,0.36051236350768484,1.287082194455047e-31
5,CREB/ATF/1:bZIP,Fos,2.4469097,0.29362026562026566,3.872246527181575e-21
6,CREB/ATF/1:bZIP,Fosl2,1.6815549,0.22904032669570012,2.781538069746496e-13
7,CREB/ATF/1:bZIP,Fosl1,0.84495217,0.2737864315324227,1.6303497062103335e-18
8,CREB/ATF/1:bZIP,Jun,2.4702563,0.17461816314201764,3.0058890652334135e-08
9,CREB/ATF/1:bZIP,Fosb,1.9589397,0.3383743860379519,7.240493918628605e-28
10,CREB/ATF/1:bZIP,Junb,2.499703,0.408020388020388,7.773892752510527e-41
0,Ebox/CACGTG/2:bHLH,Clock,1.5761116,0.7854187590580172,3.1086840548162216e-209
1,Ebox/CACGTG/2:bHLH,Mycn,0.4601178,0.4129637114868964,4.8912293505778605e-42
2,Ebox/CACGTG/2:bHLH,Myc,1.8057244,0.28318633610813837,9.007227056168451e-20
3,Ebox/CACGTG/2:bHLH,Max,1.9754027,0.2655507535340148,1.524052163196697e-17
4,Ebox/CACGTG/2:bHLH,Mxi1,1.7367526,0.4077878413616583,4.752927767337686e-41
5,Ebox/CACGTG/2:bHLH,Hes1,1.6762292,0.5318155435103963,1.7122956961045462e-73
6,Ebox/CACGTG/2:bHLH,Tcfl5,0.10257846,0.36674847961636725,5.42527886829735e-33
7,Ebox/CACGTG/2:bHLH,Hes2,0.07890175,0.15285426246924105,1.1966328146172472e-06
0,YY1:C2H2,Yy1,1.7719843,0.46750515472527854,3.860087111385322e-55
1,YY1:C2H2,Yy2,0.6317714,0.41962820953951113,6.338249799208659e-44
0,E2F/2:E2F,E2f1,0.9072847,0.09327386921313872,0.0031538785868342263
1,E2F/2:E2F,Tfdp1,1.5578909,0.4724179729259439,2.9770907568770016e-56
2,E2F/2:E2F,E2f4,1.8344526,0.1643734673321898,2.066983000310607e-07
3,E2F/2:E2F,E2f6,1.2752972,0.6483490183356553,1.5323378434980198e-119
4,E2F/2:E2F,E2f3,1.0665684,0.21387638346474996,1.2375167843360485e-11
5,E2F/2:E2F,E2f7,0.4044271,0.26097818142305734,9.862601206362101e-17
0,Ebox/CACGTG/1:bHLH,Usf1,1.7198871,0.5907912657834906,1.0244417132887427e-93
1,Ebox/CACGTG/1:bHLH,Tfe3,1.628371,0.34365750267072226,1.0015446293310868e-28
2,Ebox/CACGTG/1:bHLH,Usf2,1.6050439,0.535275555056184,2.1041247511374287e-74
3,Ebox/CACGTG/1:bHLH,Tfeb,1.5873429,0.5702685495652644,3.2779185268791875e-86
4,Ebox/CACGTG/1:bHLH,Mitf,1.202249,0.10629403501956428,0.0009420310246062628
5,Ebox/CACGTG/1:bHLH,Bhlhe41,0.6828153,0.10691363517420344,0.0009206501272377146
6,Ebox/CACGTG/1:bHLH,Srebf2,1.83381,0.4469339411579976,1.0710382927705425e-49
7,Ebox/CACGTG/1:bHLH,Srebf1,1.7424666,0.2918522159900196,8.722041955868646e-21
8,Ebox/CACGTG/1:bHLH,Mlx,1.7381864,0.42212750805771615,4.574293312032869e-44
9,Ebox/CACGTG/1:bHLH,Bhlhe40,1.6681399,-0.01634388119679435,0.6299237366632195
10,Ebox/CACGTG/1:bHLH,Mlxipl,0.4988853,-0.004826720056042092,0.8788365384627075
11,Ebox/CACGTG/1:bHLH,Arnt,1.7205188,0.20541266573742603,8.882902212163878e-11
12,Ebox/CACGTG/1:bHLH,Arntl,1.5200589,0.04528161254791302,0.16517205934541723
13,Ebox/CACGTG/1:bHLH,Tfec,0.24442385,0.30862253513907084,3.571710720854369e-23
14,Ebox/CACGTG/1:bHLH,Hey1,0.699529,-0.47787267794961635,1.5053140208932513e-57
15,Ebox/CACGTG/1:bHLH,Hey2,0.22604944,-0.4305816659177357,6.907369424572806e-46
16,Ebox/CACGTG/1:bHLH,Id2,2.0740187,0.05776436176436176,0.07671568918370579
17,Ebox/CACGTG/1:bHLH,Max,1.9754027,0.43032040077520683,7.050997561086686e-46
18,Ebox/CACGTG/1:bHLH,Mnt,1.2432312,0.5564214472276874,2.0115300815932678e-81
19,Ebox/CACGTG/1:bHLH,Mlxip,1.903543,0.5073419245247257,8.31111733212127e-66
20,Ebox/CACGTG/1:bHLH,Npas2,0.7099112,-0.23297359623319738,1.488877947499218e-13
21,Ebox/CACGTG/1:bHLH,Creb3l2,1.3827986,-0.121253483558622,0.00017500930746435135
