,family,gene,mean_expression,correlation,pval
0,ETS/2:ETS,EHF,0.15098047,0.0014309396561439215,1.0
1,ETS/2:ETS,ELF3,0.98899907,-0.25812703226531,2.383999834147417e-16
2,ETS/2:ETS,ELF5,0.13649973,-0.0006521803524951415,0.9835663668082432
3,ETS/2:ETS,ERG,0.2387688,0.02611842805441253,0.48377263322585723
4,ETS/2:ETS,ETV2,0.5296094,-0.03607659136680117,0.33068802590334884
5,ETS/2:ETS,ELF2,1.1404136,0.5144774433484317,4.96777195468189e-68
6,ETS/2:ETS,ETV5,0.73393625,0.07201491246070992,0.036986812424752095
7,ETS/2:ETS,ETS1,0.88984036,0.548188693666482,1.0494368506729796e-78
8,ETS/2:ETS,FLI1,0.71793884,0.6338325203653586,2.400803643736396e-112
9,ETS/2:ETS,ELK4,0.9724855,0.3365530143500525,1.718956767368648e-27
10,ETS/2:ETS,ETV4,0.34044906,0.07000920891076354,0.0387692379824446
11,ETS/2:ETS,ETV6,0.73257715,0.3859046872472399,2.397870296195878e-36
12,ETS/2:ETS,ETS2,1.1412249,0.2019359106700622,2.1569621703731641e-10
0,E2F/2:E2F,E2F1,0.16835353,0.3927181483716555,4.802214783429982e-38
1,E2F/2:E2F,TFDP1,1.058249,0.3808403670942296,8.6953899738223e-36
2,E2F/2:E2F,E2F4,0.9933341,0.6701392407249991,7.133044397360988e-131
3,E2F/2:E2F,E2F6,0.6939172,0.7280588555429539,4.597889893540362e-165
4,E2F/2:E2F,E2F3,0.8117795,0.3530406593759186,1.0073315535055513e-30
5,E2F/2:E2F,E2F7,0.15408964,0.5677532423279175,4.1874014600816214e-86
0,YY1:C2H2,YY1,1.5011475,0.8196073494665057,2.352570800128103e-243
1,YY1:C2H2,YY2,0.17256618,0.4745444800925705,2.7054018355905656e-57
0,NRF1:CNC-bZIP,NRF1,0.49250922,0.3199176264080967,3.1229433744157866e-25
0,SNAI2:C2H2,ZEB1,0.72034305,-0.7638136253215568,5.662759460235985e-192
1,SNAI2:C2H2,SNAI2,0.5625737,-0.7984011778796157,8.486682000732692e-222
0,Ebox/CAGCTG:bHLH,ASCL2,0.28213245,-0.16034764230891826,4.5934618550206446e-07
1,Ebox/CAGCTG:bHLH,MYF6,0.060030065,-0.10718288041995021,0.0007844264369637902
2,Ebox/CAGCTG:bHLH,TFAP4,0.61615664,-0.7226117430127598,1.2690727652301809e-161
3,Ebox/CAGCTG:bHLH,TCF12,1.0163512,-0.8473996561196726,9.664210191096491e-276
4,Ebox/CAGCTG:bHLH,TWIST1,0.13773891,-0.5205189414288396,3.1958053944877795e-70
5,Ebox/CAGCTG:bHLH,MSC,0.1500427,-0.09519011826841516,0.0025846116765363795
6,Ebox/CAGCTG:bHLH,ZBTB18,0.5643885,-0.19315771792044562,1.1740236609550168e-09
7,Ebox/CAGCTG:bHLH,TCF21,0.5295311,-0.6594069429662729,2.2422115735955302e-125
0,ZFX:C2H2,ZFX,0.96336675,0.2753480869576365,7.42288858122579e-19
0,IRF/1:IRF,IRF9,0.67868394,0.3257582533385477,5.631014833203659e-26
1,IRF/1:IRF,IRF7,0.8362342,0.3961082792490173,1.30734373540945e-38
2,IRF/1:IRF,IRF2,1.1885506,0.5320912061941507,1.0465889256996776e-73
3,IRF/1:IRF,IRF3,1.1671852,0.6200308818116542,1.7133135943750656e-106
4,IRF/1:IRF,IRF8,0.5800837,0.12644786709384342,7.294394347443457e-05
5,IRF/1:IRF,IRF4,0.28269875,0.08353162481909557,0.008221921164507503
0,GLI:C2H2,GLI1,0.15641466,0.5901115485544592,1.459138598533574e-94
1,GLI:C2H2,GLI3,0.41134498,0.5027828020745321,5.289798812963809e-65
2,GLI:C2H2,GLI2,0.15327299,0.6534394042270182,4.899999489192114e-122
3,GLI:C2H2,ZBTB7C,0.17200707,0.6104082788506308,1.1704420140228063e-102
4,GLI:C2H2,ZBTB7B,0.54526335,-0.026748806149561037,0.39813051480153466
5,GLI:C2H2,ZBTB7A,0.9092977,0.2687565006646705,6.300678470779929e-18
0,TFAP2/2:TFAP,TFAP2A,0.22609574,-0.1449803310555722,8.317451663708143e-06
1,TFAP2/2:TFAP,TFAP2B,0.1202612,0.0163837177752738,0.6048173698018835
0,Ebox/CACGTG/1:bHLH,USF1,0.6057248,-0.4276696513621044,1.8976333736042747e-45
